dataset,rows,seed,method,status,elapsed_seconds,peak_memory_gib,loss,selected_size,selected_fraction,model_fits,jaccard,error
superconductivity,3000,501,all,complete,0.05745533388108015,0.2181854248046875,313.8778752541731,81.0,1.0,3,1.0,
superconductivity,3000,501,l1,complete,43.33647320792079,0.2181854248046875,313.4973391424198,76.0,0.9382716049382716,96,0.884104938271605,
superconductivity,3000,501,gated-T1,complete,19.9463630001992,0.2181854248046875,313.8778752541731,81.0,1.0,3969,1.0,
superconductivity,3000,501,ungated-T1,complete,19.35435145907104,0.2181854248046875,313.8778752541731,81.0,1.0,3928,1.0,
superconductivity,3000,501,gated-T2,complete,38.79911645874381,0.2181854248046875,313.8778752541731,81.0,1.0,7842,1.0,
superconductivity,3000,501,ungated-T2,complete,38.21363337524235,0.2181854248046875,313.8778752541731,81.0,1.0,7758,1.0,
superconductivity,3000,502,all,complete,0.05934075079858303,0.2238616943359375,331.31073005369126,81.0,1.0,3,1.0,
superconductivity,3000,502,l1,complete,57.685002624988556,0.2238616943359375,331.64400555710444,75.33333333333333,0.9300411522633745,96,0.8752930145335208,
superconductivity,3000,502,gated-T1,complete,19.67743912525475,0.2238616943359375,331.31073005369126,81.0,1.0,3969,1.0,
superconductivity,3000,502,ungated-T1,complete,18.91400258243084,0.2238616943359375,331.31073005369126,81.0,1.0,3930,1.0,
superconductivity,3000,502,gated-T2,complete,38.1627662088722,0.2238616943359375,331.31073005369126,81.0,1.0,7845,1.0,
superconductivity,3000,502,ungated-T2,complete,38.280372333712876,0.2238616943359375,331.31073005369126,81.0,1.0,7761,1.0,
superconductivity,3000,503,all,complete,0.04794012475758791,0.217315673828125,325.6328309876769,81.0,1.0,3,1.0,
superconductivity,3000,503,l1,complete,49.73141233436763,0.217315673828125,325.9064969493046,75.0,0.9259259259259259,96,0.8669238683127573,
superconductivity,3000,503,gated-T1,complete,19.430204125121236,0.217315673828125,325.6328309876769,81.0,1.0,3969,1.0,
superconductivity,3000,503,ungated-T1,complete,18.73916387464851,0.217315673828125,325.6328309876769,81.0,1.0,3932,1.0,
superconductivity,3000,503,gated-T2,complete,37.86182533297688,0.217315673828125,325.6328309876769,81.0,1.0,7845,1.0,
superconductivity,3000,503,ungated-T2,complete,40.1782454168424,0.217315673828125,325.6328309876769,81.0,1.0,7763,1.0,
superconductivity,3000,504,all,complete,0.04770766757428646,0.220428466796875,326.2701228051517,81.0,1.0,3,1.0,
superconductivity,3000,504,l1,complete,52.035804082639515,0.2242279052734375,326.9678349619655,77.66666666666667,0.9588477366255145,96,0.9176954732510287,
superconductivity,3000,504,gated-T1,complete,20.134147458709776,0.2242279052734375,326.2701228051517,81.0,1.0,3969,1.0,
superconductivity,3000,504,ungated-T1,complete,19.617114957422018,0.2242279052734375,326.2701228051517,81.0,1.0,3931,1.0,
superconductivity,3000,504,gated-T2,complete,38.289036207832396,0.2242279052734375,326.2701228051517,81.0,1.0,7845,1.0,
superconductivity,3000,504,ungated-T2,complete,37.692296124994755,0.2242279052734375,326.2701228051517,81.0,1.0,7763,1.0,
superconductivity,3000,505,all,complete,0.04647912550717592,0.22021484375,319.8724129266238,81.0,1.0,3,1.0,
superconductivity,3000,505,l1,complete,50.584605666808784,0.22021484375,320.220533807987,76.33333333333333,0.9423868312757201,96,0.9080129707766837,
superconductivity,3000,505,gated-T1,complete,18.79163962509483,0.22021484375,319.8724129266238,81.0,1.0,3969,1.0,
superconductivity,3000,505,ungated-T1,complete,18.554440292529762,0.22021484375,319.8724129266238,81.0,1.0,3932,1.0,
superconductivity,3000,505,gated-T2,complete,37.217945207841694,0.22021484375,319.8724129266238,81.0,1.0,7845,1.0,
superconductivity,3000,505,ungated-T2,complete,37.12473350018263,0.22021484375,319.8724129266238,81.0,1.0,7767,1.0,
superconductivity,5000,501,all,complete,0.0805791663005948,0.222259521484375,316.03459800679326,81.0,1.0,3,1.0,
superconductivity,5000,501,l1,complete,83.72832454089075,0.222259521484375,316.18947234045936,76.33333333333333,0.9423868312757201,96,0.8924382716049383,
superconductivity,5000,501,gated-T1,complete,30.174759041517973,0.222259521484375,316.03459800679326,81.0,1.0,3969,1.0,
superconductivity,5000,501,ungated-T1,complete,28.303010292351246,0.222259521484375,316.03459800679326,81.0,1.0,3928,1.0,
superconductivity,5000,501,gated-T2,complete,58.13593216706067,0.222259521484375,316.03459800679326,81.0,1.0,7842,1.0,
superconductivity,5000,501,ungated-T2,complete,62.473228874616325,0.222259521484375,316.03459800679326,81.0,1.0,7758,1.0,
superconductivity,5000,502,all,complete,0.10436066705733538,0.218048095703125,322.8738067707549,81.0,1.0,3,1.0,
superconductivity,5000,502,l1,complete,85.83374083414674,0.2248077392578125,322.7250015216161,79.0,0.9753086419753086,96,0.9586419753086419,
superconductivity,5000,502,gated-T1,complete,29.676100125536323,0.2248077392578125,322.8738067707549,81.0,1.0,3969,1.0,
superconductivity,5000,502,ungated-T1,complete,26.774616749957204,0.2248077392578125,322.8738067707549,81.0,1.0,3930,1.0,
superconductivity,5000,502,gated-T2,complete,55.37884729169309,0.2248077392578125,322.8738067707549,81.0,1.0,7845,1.0,
superconductivity,5000,502,ungated-T2,complete,53.271227249875665,0.2248077392578125,322.8738067707549,81.0,1.0,7761,1.0,
superconductivity,5000,503,all,complete,0.07732824981212616,0.2208099365234375,320.41955268609894,81.0,1.0,3,1.0,
superconductivity,5000,503,l1,complete,75.15436379238963,0.2208099365234375,320.5505108529505,76.66666666666667,0.9465020576131687,96,0.9166666666666666,
superconductivity,5000,503,gated-T1,complete,28.32751104235649,0.2208099365234375,320.41955268609894,81.0,1.0,3969,1.0,
superconductivity,5000,503,ungated-T1,complete,26.989335666410625,0.2208099365234375,320.41955268609894,81.0,1.0,3932,1.0,
superconductivity,5000,503,gated-T2,complete,53.66883212514222,0.2208099365234375,320.41955268609894,81.0,1.0,7845,1.0,
superconductivity,5000,503,ungated-T2,complete,51.88583749998361,0.2208099365234375,320.41955268609894,81.0,1.0,7763,1.0,
superconductivity,5000,504,all,complete,0.0757976658642292,0.217742919921875,320.05227614735094,81.0,1.0,3,1.0,
superconductivity,5000,504,l1,complete,69.67669812496752,0.217742919921875,320.07220995482135,76.33333333333333,0.9423868312757201,96,0.9006172839506172,
superconductivity,5000,504,gated-T1,complete,28.888454125262797,0.217742919921875,320.05227614735094,81.0,1.0,3969,1.0,
superconductivity,5000,504,ungated-T1,complete,27.836965875700116,0.217742919921875,320.05227614735094,81.0,1.0,3931,1.0,
superconductivity,5000,504,gated-T2,complete,58.071305790916085,0.217742919921875,320.05227614735094,81.0,1.0,7845,1.0,
superconductivity,5000,504,ungated-T2,complete,53.05623412504792,0.217742919921875,320.05227614735094,81.0,1.0,7763,1.0,
superconductivity,5000,505,all,complete,0.07416208274662495,0.2165069580078125,315.9700575098823,81.0,1.0,3,1.0,
superconductivity,5000,505,l1,complete,73.67639483325183,0.23114013671875,316.05285750787306,79.66666666666667,0.9835390946502058,96,0.9670781893004116,
superconductivity,5000,505,gated-T1,complete,27.48499520868063,0.23114013671875,315.9700575098823,81.0,1.0,3969,1.0,
superconductivity,5000,505,ungated-T1,complete,26.447202458046377,0.23114013671875,315.9700575098823,81.0,1.0,3932,1.0,
superconductivity,5000,505,gated-T2,complete,56.690499749965966,0.23114013671875,315.9700575098823,81.0,1.0,7845,1.0,
superconductivity,5000,505,ungated-T2,complete,52.572538333944976,0.23114013671875,315.9700575098823,81.0,1.0,7767,1.0,
miniboone,3000,501,all,complete,0.06614791695028543,0.185455322265625,0.23869276653559054,50.0,1.0,3,1.0,
miniboone,3000,501,l1,complete,2.423822875134647,0.185455322265625,0.23962703552540857,46.0,0.92,96,0.8774468085106383,
miniboone,3000,501,gated-T1,complete,15.365923542529345,0.185455322265625,0.26056739373574017,21.333333333333332,0.42666666666666664,2481,0.29914529914529914,
miniboone,3000,501,ungated-T1,complete,14.814344166778028,0.185455322265625,0.24888504231138273,26.666666666666668,0.5333333333333333,2442,0.488999888999889,
miniboone,3000,501,gated-T2,complete,29.768960458226502,0.185455322265625,0.24878225800690448,32.0,0.64,4867,0.5609756097560976,
miniboone,3000,501,ungated-T2,complete,28.725767500698566,0.185455322265625,0.24577031696017868,26.666666666666668,0.5333333333333333,4782,0.5177530471648119,
miniboone,3000,502,all,complete,0.061410834081470966,0.1873626708984375,0.2485277522651054,50.0,1.0,3,1.0,
miniboone,3000,502,l1,complete,2.072370500303805,0.195709228515625,0.24746706776020658,25.0,0.5,96,0.7243295019157089,
miniboone,3000,502,gated-T1,complete,15.226806540973485,0.1970977783203125,0.26520378114540727,21.333333333333332,0.42666666666666664,2481,0.28136752136752136,
miniboone,3000,502,ungated-T1,complete,15.51423391699791,0.1970977783203125,0.2606088884908215,21.333333333333332,0.42666666666666664,2441,0.3333333333333333,
miniboone,3000,502,gated-T2,complete,29.490515374578536,0.1970977783203125,0.26984020905677303,18.666666666666668,0.37333333333333335,4869,0.2698412698412698,
miniboone,3000,502,ungated-T2,complete,28.043743999674916,0.1970977783203125,0.2616408532032104,13.333333333333334,0.26666666666666666,4779,0.3526570048309179,
miniboone,3000,503,all,complete,0.06296237464994192,0.16845703125,0.24206216405239137,50.0,1.0,3,1.0,
miniboone,3000,503,l1,complete,2.2394285406917334,0.16845703125,0.2425082709036667,48.333333333333336,0.9666666666666667,96,0.9333333333333332,
miniboone,3000,503,gated-T1,complete,15.094037459231913,0.16845703125,0.24901405164530863,32.0,0.64,2481,0.4689418040425464,
miniboone,3000,503,ungated-T1,complete,14.432963541708887,0.16845703125,0.24284832946520163,38.0,0.76,2443,0.5894573643410853,
miniboone,3000,503,gated-T2,complete,30.613086041994393,0.16845703125,0.25666429336975344,26.666666666666668,0.5333333333333333,4868,0.40990049282732216,
miniboone,3000,503,ungated-T2,complete,30.504710416309536,0.16845703125,0.25539821996313433,21.333333333333332,0.42666666666666664,4788,0.39725490196078433,
miniboone,3000,504,all,complete,0.06451149936765432,0.2045440673828125,0.24112907655179297,50.0,1.0,3,1.0,
miniboone,3000,504,l1,complete,2.2694813748821616,0.2045440673828125,0.24417232101636985,38.0,0.76,96,0.6276595744680851,
miniboone,3000,504,gated-T1,complete,15.586292709223926,0.2045440673828125,0.2404379777892387,38.0,0.76,2481,0.6547368421052632,
miniboone,3000,504,ungated-T1,complete,15.122920957393944,0.2045440673828125,0.24401937223149314,32.666666666666664,0.6533333333333333,2442,0.4572549019607843,
miniboone,3000,504,gated-T2,complete,30.34184129163623,0.2045440673828125,0.2501992594545535,27.333333333333332,0.5466666666666666,4869,0.3066666666666667,
miniboone,3000,504,ungated-T2,complete,30.007244874723256,0.2045440673828125,0.24402056894830368,32.666666666666664,0.6533333333333333,4788,0.4572549019607843,
miniboone,3000,505,all,complete,0.061788625083863735,0.20550537109375,0.2510154172183853,50.0,1.0,3,1.0,
miniboone,3000,505,l1,complete,2.0315478751435876,0.20550537109375,0.25200464009341644,39.0,0.78,96,0.6333986493147984,
miniboone,3000,505,gated-T1,complete,15.184527874924242,0.20550537109375,0.2584771169815147,26.666666666666668,0.5333333333333333,2481,0.36098889587261684,
miniboone,3000,505,ungated-T1,complete,14.749235957860947,0.20550537109375,0.2618237024095237,21.333333333333332,0.42666666666666664,2443,0.4260249554367201,
miniboone,3000,505,gated-T2,complete,29.65625820774585,0.20550537109375,0.258619756482053,26.666666666666668,0.5333333333333333,4868,0.3614215719478877,
miniboone,3000,505,ungated-T2,complete,29.60540391691029,0.20550537109375,0.2591655151253499,21.333333333333332,0.42666666666666664,4781,0.41257957728545963,
miniboone,5000,501,all,complete,0.10333566647022963,0.2079010009765625,0.23541224866577284,50.0,1.0,3,1.0,
miniboone,5000,501,l1,complete,3.637289499863982,0.223419189453125,0.238584354496166,43.0,0.86,96,0.7200000000000001,
miniboone,5000,501,gated-T1,complete,22.606910125352442,0.2238922119140625,0.23639903054451974,44.0,0.88,2481,0.7600000000000001,
miniboone,5000,501,ungated-T1,complete,21.98925358336419,0.2238922119140625,0.23822470071059723,38.0,0.76,2442,0.6266666666666666,
miniboone,5000,501,gated-T2,complete,44.872010458260775,0.2238922119140625,0.23537856790677222,44.0,0.88,4867,0.7600000000000001,
miniboone,5000,501,ungated-T2,complete,43.87274237535894,0.2238922119140625,0.23680593572226968,44.0,0.88,4782,0.7600000000000001,
miniboone,5000,502,all,complete,0.10535870771855116,0.208038330078125,0.2477160593752956,50.0,1.0,3,1.0,
miniboone,5000,502,l1,complete,3.66716174967587,0.208038330078125,0.24789715357610187,34.333333333333336,0.6866666666666668,96,0.6340136054421769,
miniboone,5000,502,gated-T1,complete,24.21297679282725,0.2091064453125,0.2541538391165079,32.666666666666664,0.6533333333333333,2481,0.4438095238095238,
miniboone,5000,502,ungated-T1,complete,22.333390249870718,0.2091064453125,0.25730525734608606,26.666666666666668,0.5333333333333333,2441,0.41021021021021026,
miniboone,5000,502,gated-T2,complete,44.22366104088724,0.2091064453125,0.25675261130771554,26.666666666666668,0.5333333333333333,4869,0.4483660130718954,
miniboone,5000,502,ungated-T2,complete,42.36555862426758,0.2091064453125,0.2554675595320354,26.666666666666668,0.5333333333333333,4779,0.5024452671511495,
miniboone,5000,503,all,complete,0.10393837559968233,0.1959228515625,0.23749033338999725,50.0,1.0,3,1.0,
miniboone,5000,503,l1,complete,3.5010220827534795,0.1959228515625,0.24004208392913026,42.666666666666664,0.8533333333333333,96,0.7283333333333334,
miniboone,5000,503,gated-T1,complete,23.75929949991405,0.1959228515625,0.23927684899074034,38.0,0.76,2481,0.5894573643410853,
miniboone,5000,503,ungated-T1,complete,23.047413958236575,0.1959228515625,0.23775285238888813,44.0,0.88,2443,0.7600000000000001,
miniboone,5000,503,gated-T2,complete,46.589956915937364,0.1959228515625,0.238327070125789,44.0,0.88,4868,0.7600000000000001,
miniboone,5000,503,ungated-T2,complete,44.909329457208514,0.1959228515625,0.24100028983553476,38.0,0.76,4788,0.6266666666666666,
miniboone,5000,504,all,complete,0.10715724993497133,0.2027740478515625,0.23057056712755575,50.0,1.0,3,1.0,
miniboone,5000,504,l1,complete,3.7483571665361524,0.2035369873046875,0.23057056712755575,50.0,1.0,96,1.0,
miniboone,5000,504,gated-T1,complete,23.024791667237878,0.205230712890625,0.23765584933279757,38.0,0.76,2481,0.5894573643410853,
