dataset,rows,seed,contexts,control,complete,measured_primary_imbalance,primary_compute_matched,loss_difference,size_difference
miniboone,3000,503,2,ungated-T2,True,0.016433853738701727,True,0.001266073406619106,5.333333333333336
miniboone,3000,503,2,all,True,0.016433853738701727,True,0.014602129317362073,-23.333333333333332
miniboone,3000,503,2,l1,True,0.016433853738701727,True,0.014156022466086743,-21.666666666666668
miniboone,3000,504,1,ungated-T1,True,0.015719467956469165,True,-0.003581394442254443,5.333333333333336
miniboone,3000,504,1,all,True,0.015719467956469165,True,-0.0006910987625542708,-12.0
miniboone,3000,504,1,l1,True,0.015719467956469165,True,-0.0037343432271311483,0.0
miniboone,3000,504,2,ungated-T2,True,0.0166358595194085,True,0.006178690506249834,-5.333333333333332
miniboone,3000,504,2,all,True,0.0166358595194085,True,0.009070182902760543,-22.666666666666668
miniboone,3000,504,2,l1,True,0.0166358595194085,True,0.0060269384381836655,-10.666666666666668
miniboone,3000,505,1,ungated-T1,True,0.015316404675534058,True,-0.0033465854280089746,5.333333333333336
miniboone,3000,505,1,all,True,0.015316404675534058,True,0.007461699763129437,-23.333333333333332
miniboone,3000,505,1,l1,True,0.015316404675534058,True,0.006472476888098266,-12.333333333333332
miniboone,3000,505,2,ungated-T2,True,0.017871815940838125,True,-0.000545758643296923,5.333333333333336
miniboone,3000,505,2,all,True,0.017871815940838125,True,0.007604339263667714,-23.333333333333332
miniboone,3000,505,2,l1,True,0.017871815940838125,True,0.006615116388636544,-12.333333333333332
miniboone,5000,501,1,ungated-T1,True,0.015719467956469165,True,-0.0018256701660774866,6.0
miniboone,5000,501,1,all,True,0.015719467956469165,True,0.0009867818787469007,-6.0
miniboone,5000,501,1,l1,True,0.015719467956469165,True,-0.002185323951646251,1.0
miniboone,5000,501,2,ungated-T2,True,0.017464557222108074,True,-0.00142736781549746,0.0
miniboone,5000,501,2,all,True,0.017464557222108074,True,-3.368075900062051e-05,-6.0
miniboone,5000,501,2,l1,True,0.017464557222108074,True,-0.003205786589393772,1.0
miniboone,5000,502,1,ungated-T1,True,0.016122531237404272,True,-0.003151418229578151,5.9999999999999964
miniboone,5000,502,1,all,True,0.016122531237404272,True,0.006437779741212318,-17.333333333333336
miniboone,5000,502,1,l1,True,0.016122531237404272,True,0.006256685540406037,-1.6666666666666714
miniboone,5000,502,2,ungated-T2,True,0.018484288354898338,True,0.0012850517756801128,0.0
miniboone,5000,502,2,all,True,0.018484288354898338,True,0.00903655193241995,-23.333333333333332
miniboone,5000,502,2,l1,True,0.018484288354898338,True,0.00885545773161367,-7.666666666666668
miniboone,5000,503,1,ungated-T1,True,0.015316404675534058,True,0.0015239966018522066,-6.0
miniboone,5000,503,1,all,True,0.015316404675534058,True,0.0017865156007430827,-12.0
miniboone,5000,503,1,l1,True,0.015316404675534058,True,-0.0007652349383899248,-4.666666666666664
miniboone,5000,503,2,ungated-T2,True,0.016433853738701727,True,-0.0026732197097457666,6.0
miniboone,5000,503,2,all,True,0.016433853738701727,True,0.0008367367357917377,-6.0
miniboone,5000,503,2,l1,True,0.016433853738701727,True,-0.0017150138033412698,1.3333333333333357
miniboone,5000,504,1,ungated-T1,True,0.015719467956469165,True,0.003446068531938018,6.0
miniboone,5000,504,1,all,True,0.015719467956469165,True,0.007085282205241822,-12.0
miniboone,5000,504,1,l1,True,0.015719467956469165,True,0.007085282205241822,-12.0
miniboone,5000,504,2,ungated-T2,True,0.0166358595194085,True,0.0019974149091785964,-6.0
miniboone,5000,504,2,all,True,0.0166358595194085,True,0.005704791321091168,-18.0
miniboone,5000,504,2,l1,True,0.0166358595194085,True,0.005704791321091168,-18.0
miniboone,5000,505,1,ungated-T1,True,0.015316404675534058,True,-0.010189717549550115,11.333333333333332
miniboone,5000,505,1,all,True,0.015316404675534058,True,0.0016093794147189477,-12.0
miniboone,5000,505,1,l1,True,0.015316404675534058,True,0.0009111539591667439,-4.666666666666664
miniboone,5000,505,2,ungated-T2,True,0.017871815940838125,True,0.0006858787862195903,0.0
miniboone,5000,505,2,all,True,0.017871815940838125,True,0.0032842136970085978,-18.0
miniboone,5000,505,2,l1,True,0.017871815940838125,True,0.002585988241456394,-10.666666666666664
yearpredictionmsd,3000,501,1,ungated-T1,True,0.008861622358554875,True,3.3678269571788917,0.0
yearpredictionmsd,3000,501,1,all,True,0.008861622358554875,True,8.301125740477957,-68.66666666666667
yearpredictionmsd,3000,501,1,l1,True,0.008861622358554875,True,8.614236967825235,-40.33333333333333
yearpredictionmsd,3000,501,2,ungated-T2,True,0.00918800964741013,True,4.171159955922306,-16.0
yearpredictionmsd,3000,501,2,all,True,0.00918800964741013,True,7.30675807566422,-74.0
yearpredictionmsd,3000,501,2,l1,True,0.00918800964741013,True,7.619869303011498,-45.666666666666664
yearpredictionmsd,3000,502,1,ungated-T1,True,0.009088843444671665,True,-0.43191973004081774,1.333333333333333
yearpredictionmsd,3000,502,1,all,True,0.009088843444671665,True,2.4714923423070587,-82.0
yearpredictionmsd,3000,502,1,l1,True,0.009088843444671665,True,3.6570397463446938,-51.666666666666664
yearpredictionmsd,3000,502,2,ungated-T2,True,0.009530370880698129,True,0.054869584277710715,0.0
yearpredictionmsd,3000,502,2,all,True,0.009530370880698129,True,4.120159643604978,-83.33333333333333
yearpredictionmsd,3000,502,2,l1,True,0.009530370880698129,True,5.305707047642613,-53.0
yearpredictionmsd,3000,503,1,ungated-T1,True,0.0081799591002045,True,4.01667781604597,2.666666666666668
yearpredictionmsd,3000,503,1,all,True,0.0081799591002045,True,5.460236160059708,-76.66666666666667
yearpredictionmsd,3000,503,1,l1,True,0.0081799591002045,True,6.289066362237989,-49.0
yearpredictionmsd,3000,503,2,ungated-T2,True,0.008496957170742909,True,-0.568669865076231,0.0
yearpredictionmsd,3000,503,2,all,True,0.008496957170742909,True,4.095194518812548,-79.33333333333333
yearpredictionmsd,3000,503,2,l1,True,0.008496957170742909,True,4.924024720990829,-51.66666666666667
yearpredictionmsd,3000,504,1,ungated-T1,True,0.00840718018632129,True,-0.7121642007837892,5.333333333333334
yearpredictionmsd,3000,504,1,all,True,0.00840718018632129,True,-0.1698195365771653,-74.0
yearpredictionmsd,3000,504,1,l1,True,0.00840718018632129,True,0.2527188260428659,-43.333333333333336
yearpredictionmsd,3000,504,2,ungated-T2,True,0.010104489608451027,True,-0.16886319562449614,5.333333333333333
yearpredictionmsd,3000,504,2,all,True,0.010104489608451027,True,3.0254489986263167,-78.0
yearpredictionmsd,3000,504,2,l1,True,0.010104489608451027,True,3.447987361246348,-47.333333333333336
yearpredictionmsd,3000,505,1,ungated-T1,True,0.009088843444671665,True,3.4130048761308274,1.333333333333334
yearpredictionmsd,3000,505,1,all,True,0.009088843444671665,True,7.61865250221544,-74.0
yearpredictionmsd,3000,505,1,l1,True,0.009088843444671665,True,8.257054577115028,-45.333333333333336
yearpredictionmsd,3000,505,2,ungated-T2,True,0.009185899644046388,True,2.4111729475920924,-6.666666666666666
yearpredictionmsd,3000,505,2,all,True,0.009185899644046388,True,5.422785169918228,-80.66666666666667
yearpredictionmsd,3000,505,2,l1,True,0.009185899644046388,True,6.061187244817816,-52.0
yearpredictionmsd,5000,501,1,ungated-T1,True,0.008861622358554875,True,-3.167860476588203,46.66666666666666
yearpredictionmsd,5000,501,1,all,True,0.008861622358554875,True,0.7345568567798324,-24.66666666666667
yearpredictionmsd,5000,501,1,l1,True,0.008861622358554875,True,0.830351501297983,-4.333333333333343
yearpredictionmsd,5000,501,2,ungated-T2,True,0.00918800964741013,True,1.1707396351270347,-14.000000000000004
yearpredictionmsd,5000,501,2,all,True,0.00918800964741013,True,5.451479320409732,-68.66666666666667
yearpredictionmsd,5000,501,2,l1,True,0.00918800964741013,True,5.547273964927882,-48.33333333333334
yearpredictionmsd,5000,502,1,ungated-T1,True,0.009088843444671665,True,-1.0608950384520313,38.66666666666666
yearpredictionmsd,5000,502,1,all,True,0.009088843444671665,True,1.8239627204676054,-24.66666666666667
yearpredictionmsd,5000,502,1,l1,True,0.009088843444671665,True,1.7280508659171971,-4.0
yearpredictionmsd,5000,502,2,ungated-T2,True,0.009530370880698129,True,2.942695263440072,-19.333333333333332
yearpredictionmsd,5000,502,2,all,True,0.009530370880698129,True,4.68345430638017,-63.33333333333333
yearpredictionmsd,5000,502,2,l1,True,0.009530370880698129,True,4.587542451829762,-42.66666666666666
yearpredictionmsd,5000,503,1,ungated-T1,True,0.0081799591002045,True,-0.05572321492579135,38.66666666666667
yearpredictionmsd,5000,503,1,all,True,0.0081799591002045,True,2.721203622508952,-19.33333333333333
yearpredictionmsd,5000,503,1,l1,True,0.0081799591002045,True,2.3380183782189903,3.0
yearpredictionmsd,5000,503,2,ungated-T2,True,0.008496957170742909,True,0.6079349416345252,19.333333333333336
yearpredictionmsd,5000,503,2,all,True,0.008496957170742909,True,3.202483623758212,-38.666666666666664
yearpredictionmsd,5000,503,2,l1,True,0.008496957170742909,True,2.8192983794682505,-16.333333333333336
yearpredictionmsd,5000,504,1,ungated-T1,True,0.00840718018632129,True,-0.8533394099200251,5.333333333333334
yearpredictionmsd,5000,504,1,all,True,0.00840718018632129,True,3.622242538726269,-71.33333333333333
yearpredictionmsd,5000,504,1,l1,True,0.00840718018632129,True,4.282769901642766,-37.0
yearpredictionmsd,5000,504,2,ungated-T2,True,0.010104489608451027,True,-0.19278075034040398,0.0
yearpredictionmsd,5000,504,2,all,True,0.010104489608451027,True,4.004759618601355,-76.66666666666667
yearpredictionmsd,5000,504,2,l1,True,0.010104489608451027,True,4.665286981517852,-42.33333333333333
yearpredictionmsd,5000,505,1,ungated-T1,True,0.009088843444671665,True,-1.3433278841027914,10.666666666666666
yearpredictionmsd,5000,505,1,all,True,0.009088843444671665,True,4.11620847969202,-68.66666666666667
yearpredictionmsd,5000,505,1,l1,True,0.009088843444671665,True,4.222145795282799,-44.33333333333334
yearpredictionmsd,5000,505,2,ungated-T2,True,0.009185899644046388,True,-1.1790852699647303,5.333333333333334
yearpredictionmsd,5000,505,2,all,True,0.009185899644046388,True,4.466662342824947,-74.0
yearpredictionmsd,5000,505,2,l1,True,0.009185899644046388,True,4.572599658415726,-49.66666666666667
