dataset,rows,seed,method,fold,one_se_size,argmin_size,argmin,one_se,loss_difference
yearpredictionmsd,3000,505,gated-T1,0,8,32,117.02673445917402,120.84102126125877,-3.8142868020847516
yearpredictionmsd,3000,505,gated-T1,1,32,90,106.2682965038987,105.83876127768707,0.42953522621162676
yearpredictionmsd,3000,505,gated-T1,2,8,32,115.77226253580672,129.44887264143725,-13.67661010563053
yearpredictionmsd,3000,505,gated-T2,0,4,32,116.729031282728,120.9669114336154,-4.237880150887392
yearpredictionmsd,3000,505,gated-T2,1,16,32,104.82044454196165,106.00785278828488,-1.1874082463232298
yearpredictionmsd,3000,505,gated-T2,2,8,32,116.515124666463,122.56628896159125,-6.05116429512826
yearpredictionmsd,3000,505,ungated-T1,0,4,32,116.50493974421867,126.29286724665243,-9.78792750243376
yearpredictionmsd,3000,505,ungated-T1,1,32,32,102.5732990897398,102.5732990897398,0.0
yearpredictionmsd,3000,505,ungated-T1,2,8,90,113.06465146478475,117.0234742155984,-3.9588227508136526
yearpredictionmsd,3000,505,ungated-T2,0,8,90,113.93974970505336,118.31833736842187,-4.378587663368506
yearpredictionmsd,3000,505,ungated-T2,1,32,32,102.86478650972036,102.86478650972036,0.0
yearpredictionmsd,3000,505,ungated-T2,2,8,32,113.51112292863468,121.124410462573,-7.613287533938319
yearpredictionmsd,5000,501,gated-T1,0,90,90,88.52632448119279,88.52632448119279,0.0
yearpredictionmsd,5000,501,gated-T1,1,16,90,92.68196078173501,94.88563135207454,-2.2036705703395256
yearpredictionmsd,5000,501,gated-T1,2,90,90,91.88250818049765,91.88250818049765,0.0
yearpredictionmsd,5000,501,gated-T2,0,32,90,88.52632448119279,90.60734620051136,-2.0810217193185707
yearpredictionmsd,5000,501,gated-T2,1,16,90,92.68196078173501,97.12520145742977,-4.443240675694753
yearpredictionmsd,5000,501,gated-T2,2,16,90,91.88250818049765,101.7126837467136,-9.830175566215942
yearpredictionmsd,5000,501,ungated-T1,0,32,90,88.52632448119279,90.24140062478716,-1.7150761435943735
yearpredictionmsd,5000,501,ungated-T1,1,8,90,92.68196078173501,97.78833604963368,-5.10637526789867
yearpredictionmsd,5000,501,ungated-T1,2,16,90,91.88250818049765,96.76830876910871,-4.885800588611062
yearpredictionmsd,5000,501,ungated-T2,0,90,90,88.52632448119279,88.52632448119279,0.0
yearpredictionmsd,5000,501,ungated-T2,1,8,90,92.68196078173501,99.06565226424948,-6.383691482514465
yearpredictionmsd,5000,501,ungated-T2,2,8,90,91.88250818049765,98.34103575383129,-6.45852757333364
yearpredictionmsd,5000,502,gated-T1,0,90,90,95.82904038077504,95.82904038077504,0.0
yearpredictionmsd,5000,502,gated-T1,1,90,90,103.21854444262019,103.21854444262019,0.0
yearpredictionmsd,5000,502,gated-T1,2,16,90,94.43213734555692,99.90402550695975,-5.4718881614028305
yearpredictionmsd,5000,502,gated-T2,0,32,90,95.82904038077504,98.38967975956696,-2.560639378791919
yearpredictionmsd,5000,502,gated-T2,1,32,90,103.21854444262019,108.18977555861089,-4.9712311159907046
yearpredictionmsd,5000,502,gated-T2,2,16,90,94.43213734555692,100.95062976991483,-6.518492424357902
yearpredictionmsd,5000,502,ungated-T1,0,32,90,95.82904038077504,98.30035723902256,-2.471316858247519
yearpredictionmsd,5000,502,ungated-T1,1,32,90,103.21854444262019,105.14477414958205,-1.9262297069618626
yearpredictionmsd,5000,502,ungated-T1,2,16,90,94.43213734555692,98.68916405710648,-4.257026711549557
yearpredictionmsd,5000,502,ungated-T2,0,32,90,95.82904038077504,97.14977018234201,-1.3207298015669693
yearpredictionmsd,5000,502,ungated-T2,1,90,90,103.21854444262019,103.21854444262019,0.0
yearpredictionmsd,5000,502,ungated-T2,2,16,90,94.43213734555692,98.33368467281022,-3.9015473272532972
yearpredictionmsd,5000,503,gated-T1,0,32,90,95.458229672937,103.62184054046388,-8.163610867526884
yearpredictionmsd,5000,503,gated-T1,1,90,90,94.25796604751402,94.25796604751402,0.0
yearpredictionmsd,5000,503,gated-T1,2,90,90,88.66996086198758,88.66996086198758,0.0
yearpredictionmsd,5000,503,gated-T2,0,32,90,95.458229672937,102.50878916341179,-7.050559490474797
yearpredictionmsd,5000,503,gated-T2,1,90,90,94.25796604751402,94.25796604751402,0.0
yearpredictionmsd,5000,503,gated-T2,2,32,90,88.66996086198758,91.22685224278746,-2.5568913807998825
yearpredictionmsd,5000,503,ungated-T1,0,32,90,95.458229672937,98.54677395300693,-3.0885442800699394
yearpredictionmsd,5000,503,ungated-T1,1,32,32,96.71363820679784,96.71363820679784,0.0
yearpredictionmsd,5000,503,ungated-T1,2,32,90,88.66996086198758,91.45652493493806,-2.7865640729504833
yearpredictionmsd,5000,503,ungated-T2,0,32,90,95.458229672937,98.20020104867667,-2.7419713757396806
yearpredictionmsd,5000,503,ungated-T2,1,32,32,96.27346282474163,96.27346282474163,0.0
yearpredictionmsd,5000,503,ungated-T2,2,32,90,88.66996086198758,91.69613875539139,-3.026177893403812
yearpredictionmsd,5000,504,gated-T1,0,32,90,98.37880760418165,98.81416639415392,-0.43535878997226973
yearpredictionmsd,5000,504,gated-T1,1,8,90,98.6922664249529,104.11774101947918,-5.425474594526278
yearpredictionmsd,5000,504,gated-T1,2,16,90,93.03671599572554,98.04261022740583,-5.005894231680287
yearpredictionmsd,5000,504,gated-T2,0,16,90,98.37880760418165,100.1703919516817,-1.7915843475000486
yearpredictionmsd,5000,504,gated-T2,1,8,90,98.6922664249529,104.80638424069511,-6.114117815742205
yearpredictionmsd,5000,504,gated-T2,2,16,90,93.03671599572554,97.14529268828736,-4.108576692561812
yearpredictionmsd,5000,504,ungated-T1,0,16,90,98.37880760418165,99.4972456444369,-1.1184380402552563
yearpredictionmsd,5000,504,ungated-T1,1,8,90,98.6922664249529,106.80094350982777,-8.10867708487487
yearpredictionmsd,5000,504,ungated-T1,2,16,90,93.03671599572554,97.23634671653436,-4.199630720808813
yearpredictionmsd,5000,504,ungated-T2,0,16,90,98.37880760418165,101.7883202429065,-3.4095126387248484
yearpredictionmsd,5000,504,ungated-T2,1,8,32,99.13650264977083,103.60935914522366,-4.472856495452831
yearpredictionmsd,5000,504,ungated-T2,2,16,90,93.03671599572554,97.30273174355523,-4.266015747829684
yearpredictionmsd,5000,505,gated-T1,0,16,90,91.09777023193631,94.01504327695407,-2.9172730450177653
yearpredictionmsd,5000,505,gated-T1,1,16,90,87.17262791996069,95.3820174625062,-8.209389542545509
yearpredictionmsd,5000,505,gated-T1,2,32,90,97.35693767942996,98.57890053094272,-1.2219628515127567
yearpredictionmsd,5000,505,gated-T2,0,16,90,91.09777023193631,92.0828655426875,-0.9850953107511913
yearpredictionmsd,5000,505,gated-T2,1,16,32,91.86981575466456,96.68018672066837,-4.810370966003816
yearpredictionmsd,5000,505,gated-T2,2,16,90,97.35693767942996,100.26427059644587,-2.907332917015907
yearpredictionmsd,5000,505,ungated-T1,0,8,32,90.59641135838064,95.60957035797173,-5.013158999591099
yearpredictionmsd,5000,505,ungated-T1,1,8,90,87.17262791996069,96.1319357196694,-8.95930779970871
yearpredictionmsd,5000,505,ungated-T1,2,16,90,97.35693767942996,100.26443884507025,-2.9075011656402836
yearpredictionmsd,5000,505,ungated-T2,0,8,32,90.3648125525325,97.40492288799344,-7.040110335460938
yearpredictionmsd,5000,505,ungated-T2,1,8,32,88.82738064960392,94.48459503903983,-5.657214389435907
yearpredictionmsd,5000,505,ungated-T2,2,16,90,97.35693767942996,100.6750607426627,-3.3181230632327328
