dataset,rows,seed,method,fold,one_se_size,argmin_size,argmin,one_se,loss_difference
superconductivity,5000,502,gated-T1,1,81,81,314.06634739838677,314.06634739838677,0.0
superconductivity,5000,502,gated-T1,2,81,81,323.2370089100459,323.2370089100459,0.0
superconductivity,5000,502,gated-T2,0,81,81,331.31806400383203,331.31806400383203,0.0
superconductivity,5000,502,gated-T2,1,81,81,314.06634739838677,314.06634739838677,0.0
superconductivity,5000,502,gated-T2,2,81,81,323.2370089100459,323.2370089100459,0.0
superconductivity,5000,502,ungated-T1,0,81,81,331.31806400383203,331.31806400383203,0.0
superconductivity,5000,502,ungated-T1,1,81,81,314.06634739838677,314.06634739838677,0.0
superconductivity,5000,502,ungated-T1,2,81,81,323.2370089100459,323.2370089100459,0.0
superconductivity,5000,502,ungated-T2,0,81,81,331.31806400383203,331.31806400383203,0.0
superconductivity,5000,502,ungated-T2,1,81,81,314.06634739838677,314.06634739838677,0.0
superconductivity,5000,502,ungated-T2,2,81,81,323.2370089100459,323.2370089100459,0.0
superconductivity,5000,503,gated-T1,0,81,81,321.5928242601988,321.5928242601988,0.0
superconductivity,5000,503,gated-T1,1,81,81,319.2232219320468,319.2232219320468,0.0
superconductivity,5000,503,gated-T1,2,81,81,320.4426118660511,320.4426118660511,0.0
superconductivity,5000,503,gated-T2,0,81,81,321.5928242601988,321.5928242601988,0.0
superconductivity,5000,503,gated-T2,1,81,81,319.2232219320468,319.2232219320468,0.0
superconductivity,5000,503,gated-T2,2,81,81,320.4426118660511,320.4426118660511,0.0
superconductivity,5000,503,ungated-T1,0,81,81,321.5928242601988,321.5928242601988,0.0
superconductivity,5000,503,ungated-T1,1,81,81,319.2232219320468,319.2232219320468,0.0
superconductivity,5000,503,ungated-T1,2,81,81,320.4426118660511,320.4426118660511,0.0
superconductivity,5000,503,ungated-T2,0,81,81,321.5928242601988,321.5928242601988,0.0
superconductivity,5000,503,ungated-T2,1,81,81,319.2232219320468,319.2232219320468,0.0
superconductivity,5000,503,ungated-T2,2,81,81,320.4426118660511,320.4426118660511,0.0
superconductivity,5000,504,gated-T1,0,81,81,308.2464193842306,308.2464193842306,0.0
superconductivity,5000,504,gated-T1,1,81,81,339.356857951614,339.356857951614,0.0
superconductivity,5000,504,gated-T1,2,81,81,312.5535511062082,312.5535511062082,0.0
superconductivity,5000,504,gated-T2,0,81,81,308.2464193842306,308.2464193842306,0.0
superconductivity,5000,504,gated-T2,1,81,81,339.356857951614,339.356857951614,0.0
superconductivity,5000,504,gated-T2,2,81,81,312.5535511062082,312.5535511062082,0.0
superconductivity,5000,504,ungated-T1,0,81,81,308.2464193842306,308.2464193842306,0.0
superconductivity,5000,504,ungated-T1,1,81,81,339.356857951614,339.356857951614,0.0
superconductivity,5000,504,ungated-T1,2,81,81,312.5535511062082,312.5535511062082,0.0
superconductivity,5000,504,ungated-T2,0,81,81,308.2464193842306,308.2464193842306,0.0
superconductivity,5000,504,ungated-T2,1,81,81,339.356857951614,339.356857951614,0.0
superconductivity,5000,504,ungated-T2,2,81,81,312.5535511062082,312.5535511062082,0.0
superconductivity,5000,505,gated-T1,0,81,81,311.06028214416136,311.06028214416136,0.0
superconductivity,5000,505,gated-T1,1,81,81,316.0812018683911,316.0812018683911,0.0
superconductivity,5000,505,gated-T1,2,81,81,320.76868851709446,320.76868851709446,0.0
superconductivity,5000,505,gated-T2,0,81,81,311.06028214416136,311.06028214416136,0.0
superconductivity,5000,505,gated-T2,1,81,81,316.0812018683911,316.0812018683911,0.0
superconductivity,5000,505,gated-T2,2,81,81,320.76868851709446,320.76868851709446,0.0
superconductivity,5000,505,ungated-T1,0,81,81,311.06028214416136,311.06028214416136,0.0
superconductivity,5000,505,ungated-T1,1,81,81,316.0812018683911,316.0812018683911,0.0
superconductivity,5000,505,ungated-T1,2,81,81,320.76868851709446,320.76868851709446,0.0
superconductivity,5000,505,ungated-T2,0,81,81,311.06028214416136,311.06028214416136,0.0
superconductivity,5000,505,ungated-T2,1,81,81,316.0812018683911,316.0812018683911,0.0
superconductivity,5000,505,ungated-T2,2,81,81,320.76868851709446,320.76868851709446,0.0
miniboone,3000,501,gated-T1,0,16,50,0.23410893392666254,0.2730509249610181,-0.03894199103435558
miniboone,3000,501,gated-T1,1,16,50,0.24624279433133336,0.2611724027257244,-0.01492960839439103
miniboone,3000,501,gated-T1,2,32,50,0.23572657134877578,0.24747885352047805,-0.011752282171702266
miniboone,3000,501,gated-T2,0,32,50,0.23410893392666254,0.2423124635919955,-0.008203529665332943
miniboone,3000,501,gated-T2,1,32,50,0.24624279433133336,0.2468295664013071,-0.0005867720699737344
miniboone,3000,501,gated-T2,2,32,50,0.23572657134877578,0.25720474402741095,-0.021478172678635166
miniboone,3000,501,ungated-T1,0,32,32,0.23869652094306854,0.23869652094306854,0.0
miniboone,3000,501,ungated-T1,1,16,32,0.24875495149770765,0.25613899515588007,-0.007384043658172412
miniboone,3000,501,ungated-T1,2,32,32,0.25181961083519955,0.25181961083519955,0.0
miniboone,3000,501,ungated-T2,0,32,50,0.23410893392666254,0.23592285469371782,-0.001813920767055277
miniboone,3000,501,ungated-T2,1,16,50,0.24624279433133336,0.26090625623547775,-0.014663461904144387
miniboone,3000,501,ungated-T2,2,32,32,0.2404818399513404,0.2404818399513404,0.0
miniboone,3000,502,gated-T1,0,16,32,0.24370267032553808,0.2747416520295323,-0.031038981703994245
miniboone,3000,502,gated-T1,1,32,50,0.2784582550357715,0.28018762110760104,-0.0017293660718295523
miniboone,3000,502,gated-T1,2,16,32,0.2353773357456977,0.24068207029908847,-0.005304734553390783
miniboone,3000,502,gated-T2,0,8,50,0.23313779952921987,0.28886850089840915,-0.055730701369189284
miniboone,3000,502,gated-T2,1,32,32,0.28087798635329764,0.28087798635329764,0.0
miniboone,3000,502,gated-T2,2,16,32,0.23660609707424668,0.2397741399186122,-0.0031680428443655317
miniboone,3000,502,ungated-T1,0,16,32,0.24294236639724148,0.25883780252121974,-0.015895436123978257
miniboone,3000,502,ungated-T1,1,32,32,0.2750750439798009,0.2750750439798009,0.0
miniboone,3000,502,ungated-T1,2,16,32,0.23751384539653891,0.24791381897144385,-0.010399973574904936
miniboone,3000,502,ungated-T2,0,8,32,0.24078151651642893,0.26423645242393745,-0.023454935907508523
miniboone,3000,502,ungated-T2,1,16,50,0.2784582550357715,0.2757015289866055,0.0027567260491659917
miniboone,3000,502,ungated-T2,2,16,32,0.23460018202384064,0.24498457819908828,-0.01038439617524764
miniboone,3000,503,gated-T1,0,32,50,0.24979333360605713,0.2604886233762069,-0.010695289770149746
miniboone,3000,503,gated-T1,1,32,50,0.24396120240249639,0.24604803601843597,-0.0020868336159395873
miniboone,3000,503,gated-T1,2,32,32,0.240505495541283,0.240505495541283,0.0
miniboone,3000,503,gated-T2,0,32,50,0.24979333360605713,0.26679624583514683,-0.0170029122290897
miniboone,3000,503,gated-T2,1,32,50,0.24396120240249639,0.2401180311791783,0.0038431712233180926
miniboone,3000,503,gated-T2,2,16,50,0.23243195614862056,0.26307860309493514,-0.030646646946314582
miniboone,3000,503,ungated-T1,0,50,50,0.24979333360605713,0.24979333360605713,0.0
miniboone,3000,503,ungated-T1,1,32,50,0.24396120240249639,0.241994498095373,0.001966704307123396
miniboone,3000,503,ungated-T1,2,32,50,0.23243195614862056,0.23675715669417477,-0.004325200545554214
miniboone,3000,503,ungated-T2,0,16,50,0.24979333360605713,0.2731036714805906,-0.023310337874533488
miniboone,3000,503,ungated-T2,1,32,50,0.24396120240249639,0.25011373751869903,-0.006152535116202645
miniboone,3000,503,ungated-T2,2,16,50,0.23243195614862056,0.2429772508901133,-0.010545294741492739
miniboone,3000,504,gated-T1,0,32,50,0.23629821912700677,0.23698268575976414,-0.000684466632757369
miniboone,3000,504,gated-T1,1,32,32,0.2249237783199863,0.2249237783199863,0.0
miniboone,3000,504,gated-T1,2,50,50,0.2594074692879657,0.2594074692879657,0.0
miniboone,3000,504,gated-T2,0,16,32,0.2384519360785921,0.2461195479115694,-0.007667611832977289
miniboone,3000,504,gated-T2,1,16,32,0.23002335916510144,0.2450707611641255,-0.015047401999024046
miniboone,3000,504,gated-T2,2,50,50,0.2594074692879657,0.2594074692879657,0.0
miniboone,3000,504,ungated-T1,0,16,50,0.23629821912700677,0.24770971395982072,-0.011411494832813951
miniboone,3000,504,ungated-T1,1,32,50,0.2276815412404064,0.22494093344669297,0.0027406077937134343
miniboone,3000,504,ungated-T1,2,50,50,0.2594074692879657,0.2594074692879657,0.0
miniboone,3000,504,ungated-T2,0,16,50,0.23629821912700677,0.24123370169857794,-0.00493548257157117
miniboone,3000,504,ungated-T2,1,32,32,0.23142053585836736,0.23142053585836736,0.0
miniboone,3000,504,ungated-T2,2,50,50,0.2594074692879657,0.2594074692879657,0.0
miniboone,3000,505,gated-T1,0,32,50,0.25692325238941505,0.2634745771796621,-0.0065513247902470595
miniboone,3000,505,gated-T1,1,16,32,0.257675154458022,0.2661026116510775,-0.008427457193055488
miniboone,3000,505,gated-T1,2,32,50,0.2398586172200365,0.24585416211380448,-0.005995544893767968
miniboone,3000,505,gated-T2,0,16,32,0.2740921491310591,0.2758582291048274,-0.0017660799737682642
miniboone,3000,505,gated-T2,1,32,50,0.25626438204570423,0.2620489537093238,-0.005784571663619564
miniboone,3000,505,gated-T2,2,32,50,0.2398586172200365,0.2379520866320077,0.0019065305880288097
miniboone,3000,505,ungated-T1,0,16,32,0.260207547434121,0.27613200433986695,-0.015924456905745954
miniboone,3000,505,ungated-T1,1,16,50,0.25626438204570423,0.26848601396955585,-0.012221631923851617
miniboone,3000,505,ungated-T1,2,32,50,0.2398586172200365,0.24085308891914825,-0.0009944716991117375
miniboone,3000,505,ungated-T2,0,16,32,0.2576931403007213,0.27784176417486894,-0.02014862387414762
miniboone,3000,505,ungated-T2,1,16,50,0.25626438204570423,0.2587626239472395,-0.0024982419015352475
miniboone,3000,505,ungated-T2,2,32,32,0.24089215725394134,0.24089215725394134,0.0
miniboone,5000,501,gated-T1,0,50,50,0.22965266245786517,0.22965266245786517,0.0
miniboone,5000,501,gated-T1,1,32,50,0.2620717032127577,0.2650320488489984,-0.002960345636240702
miniboone,5000,501,gated-T1,2,50,50,0.21451238032669573,0.21451238032669573,0.0
miniboone,5000,501,gated-T2,0,50,50,0.22965266245786517,0.22965266245786517,0.0
miniboone,5000,501,gated-T2,1,32,50,0.2620717032127577,0.2619706609357557,0.00010104227700197255
miniboone,5000,501,gated-T2,2,50,50,0.21451238032669573,0.21451238032669573,0.0
miniboone,5000,501,ungated-T1,0,50,50,0.22965266245786517,0.22965266245786517,0.0
miniboone,5000,501,ungated-T1,1,32,50,0.2620717032127577,0.259785972959765,0.002285730252992668
miniboone,5000,501,ungated-T1,2,32,50,0.21451238032669573,0.22523546671416156,-0.01072308638746583
miniboone,5000,501,ungated-T2,0,50,50,0.22965266245786517,0.22965266245786517,0.0
miniboone,5000,501,ungated-T2,1,32,50,0.2620717032127577,0.26625276438224815,-0.004181061169490463
miniboone,5000,501,ungated-T2,2,50,50,0.21451238032669573,0.21451238032669573,0.0
miniboone,5000,502,gated-T1,0,50,50,0.2291775405450188,0.2291775405450188,0.0
miniboone,5000,502,gated-T1,1,32,50,0.2402189322093033,0.23979320699809253,0.000425725211210759
miniboone,5000,502,gated-T1,2,16,32,0.2890713967922623,0.2934907698064125,-0.004419373014150185
miniboone,5000,502,gated-T2,0,32,50,0.2291775405450188,0.2356273749381593,-0.006449834393140508
miniboone,5000,502,gated-T2,1,32,50,0.2402189322093033,0.2389721198122925,0.0012468123970107992
miniboone,5000,502,gated-T2,2,16,50,0.2737517053715647,0.2956583391726948,-0.021906633801130115
miniboone,5000,502,ungated-T1,0,32,50,0.2291775405450188,0.23376391218803297,-0.0045863716430141754
miniboone,5000,502,ungated-T1,1,32,50,0.2402189322093033,0.24126292514232783,-0.00104399293302454
miniboone,5000,502,ungated-T1,2,16,50,0.2737517053715647,0.29688893470789746,-0.023137229336332776
miniboone,5000,502,ungated-T2,0,32,50,0.2291775405450188,0.23320561126787842,-0.004028070722859628
miniboone,5000,502,ungated-T2,1,32,50,0.2402189322093033,0.24085146669454877,-0.0006325344852454728
miniboone,5000,502,ungated-T2,2,16,16,0.29234560063367915,0.29234560063367915,0.0
miniboone,5000,503,gated-T1,0,32,50,0.23634272748846458,0.2391924749917727,-0.002849747503308131
miniboone,5000,503,gated-T1,1,50,50,0.22839968275654052,0.22839968275654052,0.0
miniboone,5000,503,gated-T1,2,32,50,0.2477285899249867,0.2502383892239078,-0.0025097992989210893
miniboone,5000,503,gated-T2,0,50,50,0.23634272748846458,0.23634272748846458,0.0
miniboone,5000,503,gated-T2,1,50,50,0.22839968275654052,0.22839968275654052,0.0
miniboone,5000,503,gated-T2,2,32,50,0.2477285899249867,0.25023880013236194,-0.002510210207375241
miniboone,5000,503,ungated-T1,0,50,50,0.23634272748846458,0.23634272748846458,0.0
miniboone,5000,503,ungated-T1,1,50,50,0.22839968275654052,0.22839968275654052,0.0
miniboone,5000,503,ungated-T1,2,32,50,0.2477285899249867,0.24851614692165933,-0.0007875569966726281
miniboone,5000,503,ungated-T2,0,50,50,0.23634272748846458,0.23634272748846458,0.0
miniboone,5000,503,ungated-T2,1,32,50,0.22839968275654052,0.23664046438309125,-0.00824078162655073
miniboone,5000,503,ungated-T2,2,32,50,0.2477285899249867,0.25001767763504845,-0.0022890877100617546
miniboone,5000,504,gated-T1,0,50,50,0.22789270293166689,0.22789270293166689,0.0
miniboone,5000,504,gated-T1,1,32,50,0.23006585248264547,0.24447801973735075,-0.014412167254705288
miniboone,5000,504,gated-T1,2,32,50,0.23375314596835484,0.240596825329375,-0.006843679361020177
miniboone,5000,504,gated-T2,0,32,32,0.22623585442017927,0.22623585442017927,0.0
miniboone,5000,504,gated-T2,1,32,50,0.23006585248264547,0.24142538876538958,-0.01135953628274411
miniboone,5000,504,gated-T2,2,32,50,0.23375314596835484,0.24116483216037188,-0.007411686192017042
miniboone,5000,504,ungated-T1,0,32,50,0.22789270293166689,0.23124764521508526,-0.0033549422834183718
miniboone,5000,504,ungated-T1,1,32,50,0.23006585248264547,0.23630861111353355,-0.006242758630888079
miniboone,5000,504,ungated-T1,2,32,50,0.23375314596835484,0.23507308607395982,-0.0013199401056049886
