n,rho,snr,method,seeds,constraint_passes,loss_failures,size_failures,boundary_ties,folds,mean_outer_loss_n,mean_outer_loss_mean,mean_outer_loss_mcse,mean_outer_loss_low,mean_outer_loss_high,mean_selected_size_n,mean_selected_size_mean,mean_selected_size_mcse,mean_selected_size_low,mean_selected_size_high,class_recall_n,class_recall_mean,class_recall_mcse,class_recall_low,class_recall_high,model_fits_n,model_fits_mean,model_fits_mcse,model_fits_low,model_fits_high,wall_clock_seconds_n,wall_clock_seconds_mean,wall_clock_seconds_mcse,wall_clock_seconds_low,wall_clock_seconds_high,mean_pairwise_jaccard_n,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_mcse,mean_pairwise_jaccard_low,mean_pairwise_jaccard_high
300,0.5,0.25,global-T2,10,6,4,0,1,30,10,5.40641311690947,0.13913601529413938,5.091665583308632,5.721160650510308,10,1.1666666666666665,0.1337954953199144,0.8640002285785885,1.4693331047547447,10,0.3111111111111111,0.039890109682477796,0.22087341376808795,0.4013488084541343,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.0397100000000004,0.005333696862610603,2.0276443394380514,2.0517756605619493,10,0.24666666666666667,0.06743995957997119,0.09410687904401344,0.3992264542893199
300,0.5,0.25,global-T4,10,5,5,0,1,30,10,5.420517502919045,0.14189152261378826,5.09953657869792,5.74149842714017,10,1.2666666666666668,0.13877773329774218,0.9527296232502804,1.5806037100830532,10,0.33333333333333337,0.033126932999996875,0.2583950045658542,0.40827166210081256,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,3.86578,0.026635209779538083,3.805526969414585,3.926033030585415,10,0.3022222222222222,0.09760928242980227,0.08141468481805206,0.5230297596263924
300,0.5,0.25,local-T2,10,6,4,0,0,30,10,5.407099892412736,0.14016270131699043,5.090029833671361,5.724169951154112,10,1.1333333333333333,0.0888888888888889,0.9322526966401595,1.3344139700265072,10,0.30000000000000004,0.03722176155970699,0.215798525475742,0.3842014745242581,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.03047,0.007824932374574654,2.0127687731804444,2.048171226819556,10,0.26666666666666666,0.05543196128553986,0.1412708583966299,0.39206247493670343
300,0.5,0.25,local-T4,10,4,6,0,0,30,10,5.423527521526636,0.14768261179369988,5.089446243436771,5.757608799616501,10,1.1,0.050917507721731536,0.9848165951954522,1.215183404804548,10,0.3111111111111111,0.022222222222222223,0.26084095193781764,0.3613812702844046,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,3.89946,0.02310331481747923,3.8471966709012575,3.9517233290987424,10,0.31666666666666665,0.10076865081787252,0.08871214143350514,0.5446211918998282
300,0.5,0.25,loco-gated-B1,10,4,6,0,2,30,10,5.548012886676274,0.15086799184472638,5.206725778287745,5.889299995064802,10,1.5666666666666669,0.25843785221362237,0.9820396281434371,2.1512937051898966,10,0.2777777777777778,0.055555555555555546,0.1521023798445442,0.40345317571101136,10,591.0,0.0,591.0,591.0,10,1.08363,0.005489526391229015,1.0712118285537116,1.0960481714462886,10,0.1388888888888889,0.05319039487535212,0.01856385612954617,0.25921392164823165
300,0.5,0.25,loco-matched-T2,10,6,4,0,0,30,10,5.429658779407897,0.13576850425064646,5.122529085034898,5.736788473780896,10,1.1,0.07114582486036498,0.9390569626889389,1.2609430373110613,10,0.30000000000000004,0.016972502573910517,0.2616055317318174,0.3383944682681827,10,1140.0,0.0,1140.0,1140.0,10,2.1234200000000003,0.0027451694948683464,2.117209995164089,2.129630004835912,10,0.33333333333333337,1.850371707708594e-17,0.3333333333333333,0.3333333333333334
300,0.5,0.25,loco-matched-T4,10,7,3,0,0,30,10,5.437416203733993,0.1439324020601097,5.111818489454965,5.763013918013021,10,1.5000000000000002,0.21801574300387316,1.0068141253610159,1.9931858746389846,10,0.31111111111111106,0.03228814032252351,0.23807026320708097,0.38415195901514115,10,2238.0,0.0,2238.0,2238.0,10,4.10435,0.031283688508017486,4.033581379962841,4.17511862003716,10,0.3061111111111111,0.08599633928470657,0.1115738762237875,0.5006483459984348
300,0.5,0.25,loco-ungated-B1,10,7,3,0,0,30,10,5.482651108357935,0.1174565324272695,5.216945972210148,5.748356244505722,10,1.1666666666666667,0.08958064164776165,0.9640211765151235,1.3693121568182098,10,0.2666666666666667,0.0377705149155021,0.18122382580798718,0.35210950752534625,10,186.0,0.0,186.0,186.0,10,0.33901000000000003,0.0020019684757202833,0.3344812326729532,0.34353876732704686,10,0.23888888888888887,0.043861923267877814,0.13966632499435383,0.3381114527834239
300,0.5,2.0,global-T2,10,3,7,0,1,30,10,1.1047020537045136,0.024575825206847136,1.0491076746811676,1.1602964327278595,10,2.0,0.23830678432808017,1.4609126008888265,2.5390873991111738,10,0.4444444444444445,0.04057204129667896,0.3526641106158176,0.5362247782730714,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,1.9898599999999997,0.013949457974336426,1.9583041337262022,2.0214158662737973,10,0.4883333333333333,0.059768930916326894,0.35312661814817337,0.6235400485184932
300,0.5,2.0,global-T4,10,5,5,0,1,30,10,1.0815181511874794,0.022622078977791005,1.0303434531904827,1.132692849184476,10,2.1666666666666665,0.22360679774997896,1.660832947486182,2.672500385847151,10,0.4222222222222222,0.027715980642769925,0.35952431808720386,0.4849201263572406,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,3.8824999999999994,0.02157686003312087,3.8336897515253807,3.931310248474618,10,0.5611111111111111,0.04930935909516425,0.4495655912409965,0.6726566309812257
