n,rho,snr,contexts,seeds,valid,invalid,valid_fraction,compute_matched,valid_clearing_effect,failure_reasons,gated_constraint_passes,gated_loss_failures,gated_size_failures,ungated_constraint_passes,ungated_loss_failures,ungated_size_failures,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,diagnostic_raw_recall_difference_n,diagnostic_raw_recall_difference_mean,diagnostic_raw_recall_difference_mcse,diagnostic_raw_recall_difference_low,diagnostic_raw_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high
1000,0.9,0.25,2,10,4,6,0.4,10,0,"{""both_failed_constraints"": 4, ""comparator_failed_constraints"": 2}",6,4,0,4,6,0,4,-0.08333333333333333,0.08333333333333334,-0.34853719210697565,0.18187052544030902,10,-1.6653345369377347e-17,0.04057204129667896,-0.0917803338286269,0.09178033382862687,10,-0.03397068323703882,0.020118815638805878,-0.07948260614138009,0.011541239667302437,10,-0.19999999999999998,0.24444444444444438,-0.7529717509062277,0.3529717509062278
1000,0.9,0.25,4,10,5,5,0.5,10,1,"{""both_failed_constraints"": 4, ""comparator_failed_constraints"": 1}",6,4,0,5,5,0,5,0.04444444444444444,0.04444444444444443,-0.07895311578656856,0.16784200467545746,10,0.01111111111111111,0.04520946524345816,-0.09115980451565425,0.11338202673787648,10,-0.021696453238290215,0.009707942905130692,-0.043657345817167625,0.0002644393405871921,10,-0.033333333333333326,0.24062675364119682,-0.5776688676436458,0.5110022009769791
1000,0.9,2.0,2,10,10,0,1.0,10,6,{},10,0,0,10,0,0,10,0.03333333333333331,0.03722176155970699,-0.05086814119092474,0.11753480785759136,10,0.03333333333333331,0.03722176155970699,-0.05086814119092474,0.11753480785759136,10,0.0031151098388447207,0.0035553210289013906,-0.0049275850927316435,0.011157804770421085,10,4.4408920985006264e-17,0.18592445034090563,-0.42059032707799876,0.42059032707799887
1000,0.9,2.0,4,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.02222222222222222,0.022222222222222213,-0.028047936951071203,0.07249238139551564,10,0.02222222222222222,0.022222222222222213,-0.028047936951071203,0.07249238139551564,10,0.002020850430065513,0.0031457060011716477,-0.005095230932542228,0.009136931792673254,10,-0.033333333333333305,0.17533037597843887,-0.42995819920906114,0.3632915325423945
3000,0.5,0.25,2,10,4,6,0.4,10,0,"{""both_failed_constraints"": 5, ""comparator_failed_constraints"": 1}",5,5,0,4,6,0,4,-0.027777777777777776,0.027777777777777776,-0.11617906403565854,0.06062350848010299,10,0.0,0.01656346649999844,-0.03746916438373959,0.03746916438373959,10,-0.008194203757577956,0.008011584891889982,-0.026317667906132762,0.00992926039097685,10,0.13333333333333336,0.180534186769688,-0.27506337039766526,0.541730037064332
3000,0.5,0.25,4,10,4,6,0.4,10,0,"{""both_failed_constraints"": 5, ""comparator_failed_constraints"": 1}",5,5,0,4,6,0,4,-0.027777777777777776,0.027777777777777776,-0.11617906403565854,0.06062350848010299,10,-0.01111111111111111,0.011111111111111112,-0.036246190697757835,0.014023968475535612,10,-0.004788821343188499,0.009105156508041903,-0.02538611635625418,0.015808473669877185,10,-6.661338147750939e-17,0.09938079899999065,-0.2248149863024376,0.2248149863024375
3000,0.5,2.0,2,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.04444444444444445,0.024567591039669632,-0.011131307598641199,0.1000201964875301,10,0.04444444444444445,0.024567591039669632,-0.011131307598641199,0.1000201964875301,10,-0.0015939928982809382,0.002677673343703108,-0.007651310832372743,0.004463325035810867,10,0.23333333333333325,0.12222222222222223,-0.043152542119780674,0.5098192087864472
3000,0.5,2.0,4,10,10,0,1.0,10,3,{},10,0,0,10,0,0,10,0.02222222222222222,0.022222222222222227,-0.02804793695107123,0.07249238139551567,10,0.02222222222222222,0.022222222222222227,-0.02804793695107123,0.07249238139551567,10,-0.0035228112597856633,0.002268002645471406,-0.008653389689484082,0.0016077671699127553,10,0.29999999999999993,0.15275252316519466,-0.045550214413643875,0.6455502144136438
3000,0.9,0.25,2,10,3,7,0.3,10,0,"{""both_failed_constraints"": 7}",3,7,0,3,7,0,3,-0.037037037037037056,0.03703703703703706,-0.1963945455462765,0.12232047147220237,10,0.0111111111111111,0.0199450548412389,-0.03400773756040049,0.05622995978262269,10,0.0015178754400157145,0.004089752224488323,-0.007733786848680438,0.010769537728711868,10,-0.033333333333333395,0.09229582069908972,-0.242120985224118,0.17545431855745125
3000,0.9,0.25,4,10,3,7,0.3,10,0,"{""both_failed_constraints"": 6, ""comparator_failed_constraints"": 1}",4,6,0,3,7,0,3,0.0,0.0,0.0,0.0,10,0.0,0.01656346649999844,-0.03746916438373959,0.03746916438373959,10,0.0011447952692379636,0.004738048783796565,-0.009573415724714759,0.011863006263190687,10,-0.06666666666666662,0.10886621079036346,-0.31293914519278654,0.1796058118594533
3000,0.9,2.0,2,10,10,0,1.0,10,2,{},10,0,0,10,0,0,10,-0.011111111111111082,0.02592592592592592,-0.0697596301466201,0.04753740792439792,10,-0.011111111111111082,0.02592592592592592,-0.0697596301466201,0.04753740792439792,10,0.0028719726729842686,0.0023692513386118622,-0.002487646213125791,0.008231591559094328,10,-0.03333333333333317,0.11600340565456167,-0.2957512683437856,0.2290846016771193
3000,0.9,2.0,4,10,10,0,1.0,10,4,{},10,0,0,10,0,0,10,0.04444444444444447,0.02962962962962963,-0.02258243445328012,0.11147132334216905,10,0.04444444444444447,0.02962962962962963,-0.02258243445328012,0.11147132334216905,10,-0.0033468901149878993,0.0012798529400441093,-0.006242118610637023,-0.0004516616193387759,10,0.1333333333333334,0.14229164972072997,-0.1885527412887891,0.4552194079554559
