n,rho,snr,contexts,seeds,both_valid,recovered,lost,neither_valid,one_se_valid,argmin_valid,validity_difference_n,validity_difference_mean,validity_difference_mcse,validity_difference_low,validity_difference_high,common_one_se_recall_effect_n,common_one_se_recall_effect_mean,common_one_se_recall_effect_mcse,common_one_se_recall_effect_low,common_one_se_recall_effect_high,common_argmin_recall_effect_n,common_argmin_recall_effect_mean,common_argmin_recall_effect_mcse,common_argmin_recall_effect_low,common_argmin_recall_effect_high,common_recall_effect_change_n,common_recall_effect_change_mean,common_recall_effect_change_mcse,common_recall_effect_change_low,common_recall_effect_change_high,gated_loss_change_n,gated_loss_change_mean,gated_loss_change_mcse,gated_loss_change_low,gated_loss_change_high,gated_size_change_n,gated_size_change_mean,gated_size_change_mcse,gated_size_change_low,gated_size_change_high,ungated_loss_change_n,ungated_loss_change_mean,ungated_loss_change_mcse,ungated_loss_change_low,ungated_loss_change_high,ungated_size_change_n,ungated_size_change_mean,ungated_size_change_mcse,ungated_size_change_low,ungated_size_change_high
300,0.5,0.25,2,10,6,0,1,3,7,6,10,-0.1,0.09999999999999999,-0.3262157162798205,0.12621571627982048,6,0.018518518518518517,0.01851851851851852,-0.029084848808079905,0.06612188584511694,6,-0.018518518518518517,0.03414646095293661,-0.10629479079540205,0.06925775375836501,6,-0.037037037037037035,0.023424278964210208,-0.09725106305531361,0.02317698898123955,10,0.010946381524049809,0.013604249256908651,-0.019828568376958254,0.04172133142505787,10,0.7666666666666666,0.1795054935711501,0.3605970286230623,1.1727363047102708,10,-0.03813474998835629,0.03955035145034941,-0.12760386081295058,0.051334360836238,10,1.2999999999999998,0.21914536581462238,0.804258741028419,1.7957412589715807
300,0.5,0.25,4,10,6,1,0,3,6,7,10,0.1,0.09999999999999999,-0.12621571627982048,0.3262157162798205,6,0.0,0.05737753105492468,-0.14749363910344793,0.14749363910344793,6,0.0,0.04057204129667896,-0.10429375239192937,0.10429375239192937,6,0.0,0.040572041296678976,-0.10429375239192941,0.10429375239192941,10,-0.06446871062457271,0.01858909189337756,-0.1065201580010908,-0.02241726324805462,10,0.8666666666666666,0.23412563895228303,0.3370376755160531,1.39629565781728,10,-0.05672155685822098,0.03282409886494202,-0.13097482721794598,0.01753171350150403,10,1.1,0.19907192074632127,0.6496680285717129,1.5503319714282873
300,0.5,2.0,2,10,4,5,0,1,4,9,10,0.5,0.16666666666666666,0.12297380620029918,0.8770261937997008,4,0.027777777777777762,0.053190394875352126,-0.14149779786986807,0.1970533534254236,4,-1.3877787807814457e-17,0.04536092116265145,-0.14435869595834566,0.14435869595834566,4,-0.027777777777777776,0.08333333333333334,-0.2929816365514201,0.23742608099586454,10,-0.04634214456679818,0.02205685825204782,-0.09623822445049285,0.0035539353168964893,10,1.0,0.27666443551086073,0.3741415655175844,1.6258584344824156,10,-0.06539001923511563,0.023234318193531275,-0.11794969855934505,-0.01283033991088621,10,1.4666666666666668,0.30711722135745007,0.7719192445542293,2.1614140887791042
300,0.5,2.0,4,10,3,6,0,1,3,9,10,0.6,0.16329931618554522,0.23059128221082004,0.9694087177891799,3,-0.037037037037037014,0.03703703703703702,-0.19639454554627628,0.12232047147220226,3,0.037037037037037035,0.037037037037037035,-0.12232047147220229,0.19639454554627636,3,0.07407407407407406,0.03703703703703703,-0.08528343443516524,0.23343158258331337,10,-0.05078367800496447,0.018361788528569074,-0.0923209294466529,-0.009246426563276032,10,1.3333333333333335,0.23306863292670038,0.8060954559346126,1.8605712107320542,10,-0.06729664401238868,0.023262496172159752,-0.1199200663528057,-0.014673221671971666,10,1.1666666666666665,0.3342579768109183,0.41052259020141146,1.9228107431319215
300,0.9,0.25,2,10,6,0,2,2,8,6,10,-0.2,0.13333333333333333,-0.5016209550397607,0.10162095503976065,6,0.018518518518518517,0.034146460952936615,-0.06925775375836503,0.10629479079540206,6,0.07407407407407406,0.04684855792842042,-0.04635397796247913,0.19450212611062723,6,0.055555555555555546,0.06252571487457087,-0.10517191136119167,0.21628302247230277,10,0.02864204651821791,0.021753611505514824,-0.02056804156571189,0.07785213460214771,10,1.2,0.26387426860084257,0.6030749332064665,1.7969250667935333,10,-0.001358692461133293,0.015689104951417,-0.03684991360487404,0.03413252868260745,10,0.8333333333333334,0.2180157430038731,0.3401474586943492,1.3265192079723176
300,0.9,0.25,4,10,8,0,0,2,8,8,10,0.0,0.0,0.0,0.0,8,0.027777777777777776,0.018184824186332698,-0.015222498504175536,0.07077805405973109,8,0.013888888888888888,0.013888888888888886,-0.018953114605455325,0.0467308923832331,8,-0.013888888888888888,0.02517574908819349,-0.07342007573484613,0.04564229795706836,10,-0.048072822189770825,0.027319710410446358,-0.10987430078033475,0.013728656400793092,10,1.1333333333333333,0.28631330503833613,0.48564763953643386,1.7810190271302329,10,-0.02456575281765061,0.011663354222671325,-0.050950093114719236,0.0018185874794180157,10,0.9333333333333333,0.20964402515681338,0.4590856001870009,1.4075810664796657
300,0.9,2.0,2,10,3,3,0,4,3,6,10,0.3,0.15275252316519466,-0.04555021441364382,0.6455502144136438,3,-0.1851851851851852,0.03703703703703702,-0.3445426936944245,-0.025827676675945932,3,0.037037037037037056,0.07407407407407406,-0.28167797998144156,0.35575205405551563,3,0.22222222222222224,0.06415002990995843,-0.05379307908337003,0.4982375235278145,10,-0.020050149376417692,0.00577999139479912,-0.03312539831107451,-0.006974900441760875,10,1.4,0.20367003088692623,0.9392663807818081,1.8607336192181916,10,-0.014014253379135944,0.008139081171246135,-0.03242613414926639,0.004397627390994504,10,0.9333333333333336,0.23200681130912332,0.40849746331242864,1.4581692033542386
300,0.9,2.0,4,10,4,5,0,1,4,9,10,0.5,0.16666666666666666,0.12297380620029918,0.8770261937997008,4,0.027777777777777762,0.053190394875352126,-0.14149779786986807,0.1970533534254236,4,0.055555555555555525,0.03207501495497919,-0.04652145727983768,0.15763256839094875,4,0.027777777777777762,0.0699058744006551,-0.194693913926214,0.2502494694817695,10,-0.042257019805139504,0.01803724244567923,-0.08306009700076059,-0.0014539426095184216,10,1.3999999999999997,0.339934634239519,0.6310144322718839,2.1689855677281153,10,-0.02509621039859622,0.007530469578136201,-0.042131316094011,-0.008061104703181436,10,1.2333333333333332,0.22249982660556428,0.7300037568561973,1.7366629098104691
1000,0.5,0.25,2,10,5,3,0,2,5,8,10,0.3,0.15275252316519466,-0.04555021441364382,0.6455502144136438,5,-0.04444444444444445,0.027216552697590872,-0.12000970896202844,0.03112082007313953,5,-0.04444444444444447,0.04444444444444443,-0.16784200467545746,0.07895311578656854,5,-1.1102230246251566e-17,0.04969039949999531,-0.13796266646708485,0.13796266646708485,10,-0.061126435739826145,0.027175964477204537,-0.12260273843788397,0.00034986695823167185,10,1.2,0.31111111111111106,0.4962177715738919,1.903782228426108,10,-0.06915342911699449,0.025697342611942443,-0.1272848567714796,-0.01102200146250936,10,1.2333333333333334,0.3222222222222222,0.5044160253205786,1.9622506413460883
1000,0.5,0.25,4,10,5,3,0,2,5,8,10,0.3,0.15275252316519466,-0.04555021441364382,0.6455502144136438,5,0.02222222222222222,0.022222222222222216,-0.03947655789328428,0.08392100233772873,5,0.02222222222222221,0.0415739709641549,-0.09320562596484083,0.13765007040928526,5,-1.1102230246251566e-17,0.035136418446315314,-0.09755433700945362,0.0975543370094536,10,-0.05734839065790185,0.026164778912999946,-0.11653723268897612,0.0018404513731724095,10,1.3,0.3,0.6213528511605386,1.9786471488394615,10,-0.07056957402713566,0.03256408023217851,-0.1442346413742937,0.0030954933200223744,10,1.0666666666666667,0.2973130702279922,0.3940977752568884,1.739235558076445
